id,dateOccurred,yearOccurred,monthOccurred,dayOccurred,timeOccurred,month,year,ucr,crime,description,newCrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationName,locationComment,xcoord,ycoord,insample,_source
444,03jan2008,2008,1,3,1305,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,7,50,5311,DR MARTIN LUTHER KIN,5311,DR MARTIN L KING,AMOCO,,886493.38,1031515,1,January2008.dta
599,04jan2008,2008,1,4,1200,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,9,38,4625,LINDELL BLVD,4625,LINDELL,BANK OF AMERICA,,888603,1023247,1,January2008.dta
623,04jan2008,2008,1,4,1425,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,7,52,5030,NATURAL BRIDGE AVE,5030,NATURAL BRIDGE,,,890648.81,1035264,1,January2008.dta
702,04jan2008,2008,1,4,2215,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,3,25,3430,S GRAND BLVD,3430,S GRAND,SCHNUCK S,,893788.81,1005469,1,January2008.dta
713,04jan2008,2008,1,4,2310,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,4,35,1101,WASHINGTON AVE,1101,WASHINGTON,,,907375.63,1018946,1,January2008.dta
721,04jan2008,2008,1,4,2335,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,4,36,2211,MARKET ST,2211,MARKET,SYBERGS,,902363.31,1018827,1,January2008.dta
798,05jan2008,2008,1,5,1210,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,7,51,1215,N KINGSHIGHWAY BLVD,1215,N KINGSHIGHWAY,,,888084.38,1028777,1,January2008.dta
841,05jan2008,2008,1,5,1700,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,4,35,800,WASHINGTON AVE,0,WASHINGTON,RENASSAINCE HOTEL,,908187.38,1018534,1,January2008.dta
1148,07jan2008,2008,1,7,1308,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,3,15,3881,GRAVOIS AVE,3881,GRAVOIS,,U.S. BANK,891456.38,1004460,1,January2008.dta
1322,08jan2008,2008,1,8,945,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,4,35,800,MARKET ST,0,MARKET,BANK OF AMERICA,@ONE CENTERRE PZ,907607,1016897,1,January2008.dta
1549,09jan2008,2008,1,9,1655,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,6,74,9009,RIVERVIEW DR,9009,RIVERVIEW DR,C&W CHOP SUEY,,898825.88,1053861,1,January2008.dta
1746,10jan2008,2008,1,10,1913,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,3,25,3420,S GRAND BLVD,3420,S GRAND,SCHNUCKS STORE,,893643.63,1005881,1,January2008.dta
1854,11jan2008,2008,1,11,1000,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,2,40,5050,OAKLAND AVE,5050,OAKLAND,,,885841.88,1017790,1,January2008.dta
1901,11jan2008,2008,1,11,1530,January,2008,Forgery and Counterfeiting,104000,FORGERY-ATTEMPT,Yes,No,No,1,9,38,4625,LINDELL BLVD,4625,LINDELL,BANK OF AMERICA,,888603,1023247,1,January2008.dta
2121,12jan2008,2008,1,12,1400,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,8,57,4469,DR MARTIN LUTHER KIN,4469,DR MARTIN L KING,ELITE GROCERY,ALIAS 4469 MARTIN LUTHER KING DR,892268.19,1028515,1,January2008.dta
2195,12jan2008,2008,1,12,2231,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,3,0,1815,ARSENAL ST,1815,ARSENAL,,,901015.88,1006406,1,January2008.dta
2420,14jan2008,2008,1,14,830,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,6,73,9075,GOODFELLOW BLVD,9075,GOODFELLOW,BANK OF AMERICA,,893940.38,1052090,1,January2008.dta
2459,14jan2008,2008,1,14,1432,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,6,70,4300,GOODFELLOW BLVD,4300,GOODFELLOW,GATEWAY METRO,,886692.31,1040667,1,January2008.dta
2780,16jan2008,2008,1,16,1500,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,8,57,4469,DR MARTIN LUTHER KIN,4469,DR MARTIN L KING,ELITE MEAT,,892268.19,1028515,1,January2008.dta
2798,16jan2008,2008,1,16,1700,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,7,52,3501,N KINGSHIGHWAY BLVD,3501,N KINGSHIGHWAY,,,890735,1035001,1,January2008.dta
2831,16jan2008,2008,1,16,1951,January,2008,Forgery and Counterfeiting,103000,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,Yes,No,No,1,1,16,4760,S SPRING AVE,4760,S SPRING,,BEHIND DELOR PARK BUSINESS CENTER,890495.88,999135.38,1,January2008.dta
2888,17jan2008,2008,1,17,922,January,2008,Forgery and Counterfeiting,101000,FORGERY,Yes,No,No,1,3,25,3134,S GRAND BLVD,3134,S GRAND,,COMMERCE BANK,894133.5,1007935,1,January2008.dta
