id,dateoccurred,yearoccurred,monthoccurred,dayoccurred,timeoccurred,month,year,ucr,crime,description,newcrime,unfounded,adjustment,count,district,neighborhood,ileadsaddress,ileadsstreet,cadaddress,cadstreet,locationname,locationcomment,xcoord,ycoord,_source,street1,street2,num
363672,28jun2014,2014,6,28,1500,June,2014,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,4,36,0,N 17TH ST / ST CHARLES ST,,,,,0,0,June2014.dta,N 17TH ST , ST CHARLES ST,218
364600,03jul2014,2014,7,3,1143,July,2014,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,5,54,0,NEWBERRY TER / N TAYLOR AVE,,,,,0,0,July2014.dta,NEWBERRY TER , N TAYLOR AVE,219
364616,03jul2014,2014,7,3,1500,July,2014,Robbery,31421,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,Yes,No,No,1,6,86,0,PARTRIDGE AVE / WEST FLORISSAN,,THEKLA,,,0,0,July2014.dta,PARTRIDGE AVE , WEST FLORISSAN,220
364777,04jul2014,2014,7,4,1950,July,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,5,58,0,NEWSTEAD / UNKNOWN,,,,,0,0,July2014.dta,NEWSTEAD , UNKNOWN,221
364778,04jul2014,2014,7,4,1951,July,2014,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,3,20,0,I 55 SB @ 7TH,,MARKET,,RESPONDED TO 1200 CLARK,0,0,July2014.dta,I 55 SB , 7TH,222
366344,16jul2014,2014,7,16,1100,July,2014,Criminal Damage,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,Yes,No,No,1,2,82,0,FOREST PARK - JEWEL BOX,,,,,0,0,July2014.dta,FOREST PARK - JEWEL BOX,,223
366563,17jul2014,2014,7,17,2300,July,2014,Larceny,69702,LARCENY-ALL OTHER UNDER $500,Yes,No,No,1,4,59,0,N. MARKET / PRAIRIE,,DAVISON,,,0,0,July2014.dta,N. MARKET , PRAIRIE,224
367300,23jul2014,2014,7,23,1530,July,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,36,0,JERFFERSON AVE / OLIVE ST,,,,,0,0,July2014.dta,JERFFERSON AVE , OLIVE ST,225
367418,24jul2014,2014,7,24,1315,July,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,35,0,I 64 WESTBOUND / I55 SB,,SIDNEY,,APT 11,0,0,July2014.dta,I 64 WESTBOUND , I55 SB,226
367436,24jul2014,2014,7,24,1525,July,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,62,0,70 EASTBOUND / TUCKER,,,,,0,0,July2014.dta,70 EASTBOUND , TUCKER,227
367578,25jul2014,2014,7,25,1800,July,2014,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,4,36,0,N 18TH ST / PINE ST,,,,,0,0,July2014.dta,N 18TH ST , PINE ST,228
367725,26jul2014,2014,7,26,2130,July,2014,Sexual Assault,23000,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,Yes,No,No,1,4,36,0,S 14TH ST / SPRUCE ST,,LINDELL,,,0,0,July2014.dta,S 14TH ST , SPRUCE ST,229
367922,28jul2014,2014,7,28,1652,July,2014,Sex Offenses,178200,SEX OFFNS-EXPOSURE/EXPOSING PERSON,Yes,No,No,1,2,82,0,CLAYTON AVE / FAULKNER DR,,,FOREST PARK,,0,0,July2014.dta,CLAYTON AVE , FAULKNER DR,230
368166,30jul2014,2014,7,30,2049,July,2014,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,0,2020 DUNNICA AVE / GUSTINE AVE,,,,,0,0,July2014.dta,2020 DUNNICA AVE , GUSTINE AVE,231
368167,30jul2014,2014,7,30,2049,July,2014,Other Assaults,91113,SIMPLE ASSAULT-ADULT/NO INJURY,Yes,No,No,1,0,0,0,2020 DUNNICA AVE / GUSTINE AVE,,,,,0,0,July2014.dta,2020 DUNNICA AVE , GUSTINE AVE,232
369333,05aug2014,2014,8,5,2354,August,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,6,75,0,I 270 / RIVIERVIEW,,,,,0,0,August2014.dta,I 270 , RIVIERVIEW,233
370918,18aug2014,2014,8,18,328,August,2014,Motor Vehicle Theft,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,Yes,No,No,1,4,64,0,GRAND / N.BROADWAY,,,,BP GAS STATION,0,0,August2014.dta,GRAND , N.BROADWAY,234
371136,19aug2014,2014,8,19,1945,August,2014,Sex Offenses,175400,SEX OFFNS-SX MISCONDUCT/SECOND,Yes,No,No,1,2,82,0,GRAND DR / WEST PINE BLVD,,CLAYTON,FOOT PATH - VICTORIAN BRIDGE,,0,0,August2014.dta,GRAND DR , WEST PINE BLVD,235
372361,30aug2014,2014,8,30,5,August,2014,Sexual Assault,21000,RAPE -- FORCIBLE,Yes,No,No,1,2,82,0,CARR LANE DR / WELLS DR,,LOCUST,,,0,0,August2014.dta,CARR LANE DR , WELLS DR,236
372370,30aug2014,2014,8,30,115,August,2014,Other Offense,265321,LEAVING SCENE OF ACCIDENT,Yes,No,No,1,4,35,0,I 44 WESTBOUND / MARKET,,,,ALIAS I 70 EB/WALNUT,0,0,August2014.dta,I 44 WESTBOUND , MARKET,237
